deviceId,deviceName,startTime,endTime,taskType,durationSeconds,actualCleaningAreaSquareMeter,plannedCleaningAreaSquareMeter,waterConsumptionLiter,batteryConsumption,taskEndStatus
GS100-0210-EBN-C000,고양스타필드 주차장 X SC75,2025-10-01T00:59:00.000Z,2025-10-01T17:13:25.000Z,Total: B2-원래지도,20159,4074.267621422634,13575.74040458858,184.43765100000007,0,1
GS100-0210-J3P-5200,고양스타필드 2호기 X SC75,2025-10-01T02:06:23.000Z,2025-10-01T22:01:14.000Z,B1층식당가전체: B1_WEST,4559,1331.215039673299,1394.9400415724522,169.53962599999994,-64,1
GS100-0210-F3P-H000,고양스타필드 1호기 X SC75,2025-10-01T02:30:10.000Z,2025-10-01T02:58:32.000Z,3번노드: B1_EAST,1659,471.2725140450151,678.5750202231111,61.967820000000074,5,0
GS100-0210-F3P-H000,고양스타필드 1호기 X SC75,2025-10-01T21:57:14.000Z,2025-10-02T02:26:19.000Z,3층전체청소하기: F3,15464,3553.8876059141016,3786.3301128414278,508.420717,81,0
GS100-0210-J3P-5200,고양스타필드 2호기 X SC75,2025-10-01T22:03:38.000Z,2025-10-01T22:13:36.000Z,2층전체청소하기: F2,97,13.652500406876209,3744.042611581162,2.134943,2,1
GS100-0210-J3P-5200,고양스타필드 2호기 X SC75,2025-10-01T22:14:18.000Z,2025-10-01T23:31:05.000Z,3번노드: F2,4215,1177.1575350820276,1243.202537050322,165.688163,21,0
GS100-0210-EBN-C000,고양스타필드 주차장 X SC75,2025-10-01T23:38:20.000Z,2025-10-02T00:00:35.000Z,Total: B2-원래지도,0,0,13163.302892296988,0,1,1
GS100-0210-J3P-5200,고양스타필드 2호기 X SC75,2025-10-01T23:47:07.000Z,2025-10-02T00:47:24.000Z,4번노드: F2,2932,775.9775231259318,825.2300245937707,134.817216,17,0
GS100-0210-J3P-5200,고양스타필드 2호기 X SC75,2025-10-02T00:57:45.000Z,2025-10-02T01:51:56.000Z,1번노드: F2,3113,927.7125276479873,980.0225292069467,124.08850799999999,15,0
GS100-0210-J3P-5200,고양스타필드 2호기 X SC75,2025-10-02T02:00:22.000Z,2025-10-02T02:44:23.000Z,2번노드: F2,2503,702.6925209418686,739.4500220373275,90.83799899999997,12,0
GS100-0210-J3P-5200,고양스타필드 2호기 X SC75,2025-10-02T03:06:35.000Z,2025-10-02T21:58:19.000Z,B1층식당가전체: B1_WEST,3603,1148.8850342394414,1385.990041305721,143.5179320000001,-71,1
GS100-0210-F3P-H000,고양스타필드 1호기 X SC75,2025-10-02T22:09:41.000Z,2025-10-03T02:40:47.000Z,3층전체청소하기: F3,14718,3413.6101017335063,3827.3426140636966,490.593139,78,0
GS100-0210-J3P-5200,고양스타필드 2호기 X SC75,2025-10-03T01:59:47.000Z,2025-10-03T03:47:52.000Z,B1층식당가전체: B1_WEST,4327,1229.2850366355483,1393.2450415219369,165.47959600000002,25,0
GS100-0210-EBN-C000,고양스타필드 주차장 X SC75,2025-10-03T02:16:31.000Z,2025-10-04T22:31:09.000Z,Total: B2-원래지도,38338,7853.737734059621,13922.382914919332,345.48245999999995,2,1
GS100-0210-F3P-H000,고양스타필드 1호기 X SC75,2025-10-03T02:46:57.000Z,2025-10-03T03:20:30.000Z,3번노드: B1_EAST,1964,624.067518598661,679.420020248294,80.46863200000001,6,0
GS100-0210-J3P-5200,고양스타필드 2호기 X SC75,2025-10-03T21:59:51.000Z,2025-10-04T01:44:05.000Z,2층전체청소하기: F2,12733,3596.2601071769004,3789.697612941787,487.495592,62,0
GS100-0210-F3P-H000,고양스타필드 1호기 X SC75,2025-10-03T22:02:45.000Z,2025-10-04T02:31:46.000Z,3층전체청소하기: F3,15441,3467.7226033461848,3791.082612983064,500.272082,79,0
GS100-0210-J3P-5200,고양스타필드 2호기 X SC75,2025-10-04T01:49:35.000Z,2025-10-04T03:18:58.000Z,B1층식당가전체: B1_WEST,4616,1324.3875394698237,1393.5700415316228,180.0425949999999,25,0
GS100-0210-F3P-H000,고양스타필드 1호기 X SC75,2025-10-04T02:36:55.000Z,2025-10-04T02:40:08.000Z,3번노드: B1_EAST,162,45.88250136740507,675.2025201226028,4.847397000000001,1,0
GS100-0210-F3P-H000,고양스타필드 1호기 X SC75,2025-10-04T02:43:48.000Z,2025-10-04T02:47:03.000Z,3번노드: B1_EAST,154,46.325001380592596,675.1450201208891,5.123870000000011,0,0
GS100-0210-F3P-H000,고양스타필드 1호기 X SC75,2025-10-04T02:49:49.000Z,2025-10-04T02:58:12.000Z,3번노드: B1_EAST,303,46.540001387000096,675.1375201206656,8.018848999999964,1,0
GS100-0210-F3P-H000,고양스타필드 1호기 X SC75,2025-10-04T02:58:39.000Z,2025-10-04T03:33:53.000Z,3번노드: B1_EAST,2076,650.985019400865,679.5350202517213,84.78721399999999,5,0
GS100-0210-J3P-5200,고양스타필드 2호기 X SC75,2025-10-04T22:01:48.000Z,2025-10-05T01:57:02.000Z,2층전체청소하기: F2,13341,3583.600106799603,3785.8826128280916,506.061603,65,0
GS100-0210-F3P-H000,고양스타필드 1호기 X SC75,2025-10-04T22:06:18.000Z,2025-10-05T02:48:55.000Z,3층전체청소하기: F3,15046,3473.6976035242533,3787.807612885461,505.61408800000027,79,0
GS100-0210-J3P-5200,고양스타필드 2호기 X SC75,2025-10-05T02:00:35.000Z,2025-10-05T21:54:14.000Z,B1층식당가전체: B1_WEST,4700,1319.1425393135105,1392.9225415123256,171.33748000000003,-65,1
GS100-0210-F3P-H000,고양스타필드 1호기 X SC75,2025-10-05T02:53:33.000Z,2025-10-05T03:30:36.000Z,3번노드: B1_EAST,2172,648.9550193403662,679.0700202378632,88.65933200000006,5,0
GS100-0210-J3P-5200,고양스타필드 2호기 X SC75,2025-10-05T21:55:46.000Z,2025-10-06T00:57:30.000Z,2층전체청소하기: F2,10247,2775.232582708374,3778.8751126192515,380.404748,51,0
